shelfmark	issued	titles	bundles	no bundle	quota bundles	rvk	no rvk	quota rvk
A 300	2017	1	1	0	100,00	1	0	100,00
A 300	2016	1	1	0	100,00	1	0	100,00
A 300	2015	3	3	0	100,00	3	0	100,00
A 300	2014	2	2	0	100,00	2	0	100,00
A 300	2013	1	1	0	100,00	1	0	100,00
A 300	2012	2	1	1	50,00	1	1	50,00
A 300	2011	3	3	0	100,00	3	0	100,00
A 300	2010	1	1	0	100,00	1	0	100,00
A 500	2015	1	1	0	100,00	1	0	100,00
A 500	2013	1	1	0	100,00	1	0	100,00
A 500	2012	1	1	0	100,00	1	0	100,00
A 500	2010	4	4	0	100,00	4	0	100,00
A 700	2016	1	1	0	100,00	1	0	100,00
A 700	2010	2	2	0	100,00	2	0	100,00
A 800	2017	1	1	0	100,00	1	0	100,00
A 800	2013	1	1	0	100,00	1	0	100,00
A 800	2012	3	3	0	100,00	3	0	100,00
A 800	2011	1	1	0	100,00	1	0	100,00
A 800	2010	1	1	0	100,00	1	0	100,00
AA	2017	3	3	0	100,00	3	0	100,00
AA	2016	7	7	0	100,00	6	1	85,71
AA	2015	4	4	0	100,00	4	0	100,00
AA	2014	2	2	0	100,00	2	0	100,00
AA	2013	1	1	0	100,00	1	0	100,00
AA	2012	5	5	0	100,00	5	0	100,00
AA	2011	5	5	0	100,00	5	0	100,00
AA	2010	6	6	0	100,00	5	1	83,33
ASP	2018	3	3	0	100,00	3	0	100,00
ASP	2017	6	6	0	100,00	6	0	100,00
ASP	2016	8	8	0	100,00	8	0	100,00
ASP	2015	17	16	1	94,12	16	1	94,12
ASP	2014	13	9	4	69,23	9	4	69,23
ASP	2013	18	17	1	94,44	17	1	94,44
ASP	2012	17	17	0	100,00	15	2	88,24
ASP	2011	17	16	1	94,12	16	1	94,12
ASP	2010	38	38	0	100,00	38	0	100,00
GE	2018	7	7	0	100,00	7	0	100,00
GE	2017	27	27	0	100,00	27	0	100,00
GE	2016	7	7	0	100,00	7	0	100,00
GE	2015	14	14	0	100,00	13	1	92,86
GE	2014	21	16	5	76,19	16	5	76,19
GE	2013	7	7	0	100,00	7	0	100,00
GE	2012	41	35	6	85,37	35	6	85,37
GE	2011	71	61	10	85,92	61	10	85,92
GE	2010	65	56	9	86,15	52	13	80,00
GEA	2018	1	1	0	100,00	1	0	100,00
GEA	2015	1	1	0	100,00	1	0	100,00
GEA	2012	4	4	0	100,00	4	0	100,00
GEA	2010	2	2	0	100,00	2	0	100,00
GEB	2017	1	1	0	100,00	1	0	100,00
GEB	2014	1	1	0	100,00	1	0	100,00
GEB	2012	1	1	0	100,00	1	0	100,00
GEB	2010	2	1	1	50,00	1	1	50,00
GEC	2017	2	2	0	100,00	2	0	100,00
GEC	2014	1	1	0	100,00	1	0	100,00
GEC	2013	1	1	0	100,00	1	0	100,00
GEC	2011	5	3	2	60,00	3	2	60,00
GEC	2010	6	4	2	66,67	4	2	66,67
GED	2012	1	1	0	100,00	1	0	100,00
GED	2011	5	5	0	100,00	5	0	100,00
GED	2010	3	2	1	66,67	2	1	66,67
GEE	2017	1	1	0	100,00	1	0	100,00
GEE	2015	1	1	0	100,00	1	0	100,00
GEE	2011	4	4	0	100,00	4	0	100,00
GEE	2010	7	7	0	100,00	7	0	100,00
GEF	2018	2	2	0	100,00	2	0	100,00
GEF	2017	3	3	0	100,00	3	0	100,00
GEF	2015	2	2	0	100,00	2	0	100,00
GEF	2014	7	3	4	42,86	3	4	42,86
GEF	2013	3	3	0	100,00	3	0	100,00
GEF	2012	14	13	1	92,86	13	1	92,86
GEF	2011	24	22	2	91,67	22	2	91,67
GEF	2010	21	16	5	76,19	16	5	76,19
GEG	2017	6	6	0	100,00	6	0	100,00
GEG	2016	1	1	0	100,00	1	0	100,00
GEG	2011	3	3	0	100,00	3	0	100,00
GEH	2017	1	1	0	100,00	1	0	100,00
GEH	2016	2	2	0	100,00	2	0	100,00
