shelfmark	issued	titles	bundles	no bundle	quota bundles	rvk	no rvk	quota rvk
0	2017	1	1	0	100,00	1	0	100,00
0	2015	1	0	1	0,00	0	1	0,00
0	2014	8	8	0	100,00	1	7	12,50
0	2013	38	38	0	100,00	5	33	13,16
0	2012	86	86	0	100,00	5	81	5,81
0	2011	112	112	0	100,00	7	105	6,25
0	2010	116	116	0	100,00	3	113	2,59
1	2019	1	0	1	0,00	0	1	0,00
1	2018	24	21	3	87,50	21	3	87,50
1	2017	45	45	0	100,00	45	0	100,00
1	2016	58	58	0	100,00	56	2	96,55
1	2015	47	47	0	100,00	45	2	95,74
1	2014	50	47	3	94,00	46	4	92,00
1	2013	57	57	0	100,00	54	3	94,74
1	2012	52	51	1	98,08	50	2	96,15
1	2011	56	55	1	98,21	53	3	94,64
1	2010	88	88	0	100,00	84	4	95,45
2	2019	1	1	0	100,00	1	0	100,00
2	2018	14	14	0	100,00	13	1	92,86
2	2017	35	35	0	100,00	35	0	100,00
2	2016	61	60	1	98,36	60	1	98,36
2	2015	61	58	3	95,08	58	3	95,08
2	2014	65	62	3	95,38	61	4	93,85
2	2013	56	56	0	100,00	56	0	100,00
2	2012	60	60	0	100,00	60	0	100,00
2	2011	77	72	5	93,51	72	5	93,51
2	2010	98	93	5	94,90	93	5	94,90
4	2018	3	1	2	33,33	1	2	33,33
4	2017	7	7	0	100,00	7	0	100,00
4	2016	9	8	1	88,89	8	1	88,89
4	2015	5	5	0	100,00	5	0	100,00
4	2014	7	7	0	100,00	7	0	100,00
4	2013	6	6	0	100,00	6	0	100,00
4	2012	2	2	0	100,00	1	1	50,00
4	2011	2	1	1	50,00	1	1	50,00
4	2010	9	9	0	100,00	9	0	100,00
5	2019	1	1	0	100,00	0	1	0,00
5	2018	12	12	0	100,00	12	0	100,00
5	2017	19	19	0	100,00	19	0	100,00
5	2016	28	28	0	100,00	28	0	100,00
5	2015	26	24	2	92,31	23	3	88,46
5	2014	19	18	1	94,74	18	1	94,74
5	2013	27	27	0	100,00	27	0	100,00
5	2012	15	15	0	100,00	15	0	100,00
5	2011	30	28	2	93,33	27	3	90,00
5	2010	21	21	0	100,00	21	0	100,00
6	2019	1	1	0	100,00	1	0	100,00
6	2018	37	33	4	89,19	33	4	89,19
6	2017	69	69	0	100,00	68	1	98,55
6	2016	87	86	1	98,85	85	2	97,70
6	2015	80	80	0	100,00	78	2	97,50
6	2014	73	73	0	100,00	73	0	100,00
6	2013	46	46	0	100,00	46	0	100,00
6	2012	42	41	1	97,62	41	1	97,62
6	2011	60	60	0	100,00	60	0	100,00
6	2010	51	51	0	100,00	51	0	100,00
65	2017	1	1	0	100,00	1	0	100,00
65	2016	2	2	0	100,00	2	0	100,00
65	2015	2	2	0	100,00	2	0	100,00
65	2014	3	3	0	100,00	3	0	100,00
65	2012	2	2	0	100,00	2	0	100,00
65	2011	2	0	2	0,00	0	2	0,00
65	2010	1	1	0	100,00	1	0	100,00
7	2019	1	1	0	100,00	1	0	100,00
7	2018	6	5	1	83,33	4	2	66,67
7	2017	22	20	2	90,91	20	2	90,91
7	2016	23	19	4	82,61	19	4	82,61
7	2015	21	20	1	95,24	19	2	90,48
7	2014	25	24	1	96,00	24	1	96,00
7	2013	20	18	2	90,00	17	3	85,00
7	2012	23	20	3	86,96	19	4	82,61
7	2011	25	21	4	84,00	21	4	84,00
7	2010	26	26	0	100,00	25	1	96,15
8	2018	5	5	0	100,00	5	0	100,00
8	2017	4	2	2	50,00	2	2	50,00
8	2016	9	8	1	88,89	8	1	88,89
8	2015	5	4	1	80,00	4	1	80,00
8	2014	6	5	1	83,33	5	1	83,33
8	2013	5	3	2	60,00	3	2	60,00
8	2012	4	2	2	50,00	2	2	50,00
8	2011	7	2	5	28,57	2	5	28,57
8	2010	3	2	1	66,67	2	1	66,67
85	2018	2	2	0	100,00	2	0	100,00
85	2015	1	1	0	100,00	1	0	100,00
85	2014	1	1	0	100,00	1	0	100,00
85	2011	4	4	0	100,00	4	0	100,00
85	2010	2	2	0	100,00	2	0	100,00
9	2018	8	6	2	75,00	6	2	75,00
9	2017	14	13	1	92,86	12	2	85,71
9	2016	18	17	1	94,44	16	2	88,89
9	2015	13	11	2	84,62	11	2	84,62
9	2014	7	6	1	85,71	5	2	71,43
9	2013	5	3	2	60,00	3	2	60,00
9	2012	6	5	1	83,33	5	1	83,33
9	2011	16	13	3	81,25	13	3	81,25
9	2010	45	41	4	91,11	41	4	91,11
X	2018	5	5	0	100,00	5	0	100,00
X	2017	12	11	1	91,67	11	1	91,67
X	2016	31	29	2	93,55	29	2	93,55
X	2015	39	32	7	82,05	29	10	74,36
X	2014	46	45	1	97,83	45	1	97,83
X	2013	68	64	4	94,12	61	7	89,71
X	2012	67	66	1	98,51	65	2	97,01
X	2011	69	67	2	97,10	66	3	95,65
X	2010	74	73	1	98,65	73	1	98,65
Xn	2019	3	1	2	33,33	1	2	33,33
Xn	2018	15	14	1	93,33	14	1	93,33
Xn	2017	21	19	2	90,48	19	2	90,48
Xn	2016	22	21	1	95,45	21	1	95,45
Xn	2015	23	19	4	82,61	19	4	82,61
Xn	2014	28	27	1	96,43	27	1	96,43
Xn	2013	27	24	3	88,89	24	3	88,89
Xn	2012	24	22	2	91,67	22	2	91,67
Xn	2011	32	28	4	87,50	27	5	84,38
Xn	2010	52	46	6	88,46	45	7	86,54
